district,less than highschool,highschool,college or associate,bachelor or higher,state
2,0.1702,0.445,0.2476,0.1372,delaware
3,0.1621,0.4629,0.1898,0.1852,delaware
4,0.0529,0.1635,0.1932,0.5905,delaware
5,0.0976,0.3721,0.2737,0.2565,delaware
6,0.0648,0.2263,0.2668,0.4421,delaware
7,0.0546,0.2839,0.2757,0.3859,delaware
8,0.0626,0.2842,0.323,0.3302,delaware
9,0.0905,0.2831,0.2591,0.3673,delaware
10,0.0536,0.2284,0.2654,0.4526,delaware
11,0.1525,0.3664,0.3086,0.1724,delaware
12,0.0372,0.1253,0.199,0.6386,delaware
13,0.1343,0.4016,0.2807,0.1834,delaware
14,0.048,0.2325,0.2506,0.4688,delaware
15,0.0746,0.37,0.2522,0.3032,delaware
16,0.1436,0.4272,0.2575,0.1718,delaware
17,0.1154,0.405,0.2634,0.2162,delaware
18,0.1001,0.3521,0.3027,0.245,delaware
19,0.1218,0.4411,0.2488,0.1883,delaware
20,0.0724,0.2383,0.2868,0.4025,delaware
21,0.0535,0.2716,0.2916,0.3834,delaware
22,0.027,0.1812,0.189,0.6028,delaware
23,0.0388,0.1788,0.3679,0.4145,delaware
24,0.1079,0.3899,0.2811,0.221,delaware
25,0.0457,0.2284,0.3952,0.3307,delaware
26,0.1165,0.2928,0.2956,0.2952,delaware
27,0.0469,0.2347,0.292,0.4263,delaware
28,0.1122,0.3512,0.3271,0.2095,delaware
29,0.1154,0.3436,0.2916,0.2494,delaware
30,0.1291,0.3939,0.3094,0.1676,delaware
31,0.0897,0.2328,0.4272,0.2503,delaware
32,0.1094,0.3386,0.3485,0.2035,delaware
33,0.1355,0.3588,0.2879,0.2179,delaware
34,0.0998,0.3098,0.268,0.3223,delaware
35,0.1606,0.3623,0.3291,0.148,delaware
36,0.1183,0.3254,0.3315,0.2248,delaware
37,0.1647,0.3696,0.2618,0.204,delaware
38,0.0555,0.2498,0.2893,0.4055,delaware
39,0.1689,0.3431,0.321,0.1669,delaware
40,0.1584,0.4012,0.2844,0.156,delaware
41,0.1166,0.355,0.3229,0.2054,delaware
1,0.096,0.2804,0.3977,0.2259,florida
2,0.1003,0.2586,0.3465,0.2945,florida
3,0.0965,0.2992,0.3717,0.2326,florida
4,0.0804,0.254,0.3548,0.3107,florida
5,0.159,0.3534,0.3048,0.1828,florida
6,0.0953,0.2956,0.3754,0.2337,florida
7,0.1827,0.3824,0.2816,0.1533,florida
8,0.1287,0.2516,0.3868,0.2329,florida
9,0.0356,0.1629,0.319,0.4825,florida
10,0.1718,0.3963,0.2967,0.1351,florida
11,0.0704,0.2787,0.2959,0.355,florida
12,0.0759,0.2532,0.3422,0.3288,florida
13,0.1638,0.3489,0.3059,0.1815,florida
14,0.1442,0.3646,0.3249,0.1663,florida
15,0.1044,0.3058,0.3501,0.2397,florida
16,0.0641,0.224,0.3094,0.4025,florida
17,0.0529,0.2237,0.2846,0.4387,florida
18,0.0798,0.2895,0.3729,0.2577,florida
19,0.1752,0.4135,0.2813,0.13,florida
20,0.1188,0.2744,0.3381,0.2687,florida
21,0.0633,0.2113,0.3493,0.376,florida
22,0.1185,0.37,0.3116,0.1999,florida
23,0.1311,0.381,0.311,0.1769,florida
24,0.0909,0.3143,0.3436,0.2512,florida
25,0.0769,0.2811,0.3513,0.2908,florida
26,0.115,0.3222,0.3582,0.2046,florida
27,0.1034,0.3409,0.3747,0.181,florida
28,0.0571,0.2037,0.3545,0.3847,florida
29,0.0618,0.2164,0.3366,0.3851,florida
30,0.0762,0.2105,0.3345,0.3788,florida
31,0.1253,0.3133,0.3291,0.2323,florida
32,0.1029,0.3092,0.3351,0.2527,florida
33,0.0884,0.3299,0.3088,0.2729,florida
34,0.1107,0.3761,0.3311,0.1821,florida
35,0.1197,0.3437,0.3586,0.178,florida
36,0.1173,0.4302,0.3077,0.1448,florida
37,0.089,0.2947,0.3318,0.2846,florida
38,0.1078,0.3058,0.3289,0.2575,florida
39,0.1348,0.3244,0.3269,0.2138,florida
40,0.1197,0.3399,0.3238,0.2165,florida
41,0.1583,0.3359,0.3106,0.1952,florida
42,0.1521,0.3131,0.3455,0.1893,florida
43,0.1548,0.3169,0.3481,0.1801,florida
44,0.0565,0.1629,0.3014,0.4792,florida
45,0.1747,0.3083,0.3231,0.1938,florida
46,0.1802,0.3058,0.3115,0.2025,florida
47,0.0701,0.2002,0.2693,0.4604,florida
48,0.132,0.3191,0.316,0.233,florida
49,0.0856,0.2136,0.4435,0.2573,florida
50,0.0908,0.2332,0.3049,0.371,florida
51,0.0863,0.2745,0.3517,0.2874,florida
52,0.0572,0.2349,0.3322,0.3757,florida
53,0.1049,0.2945,0.3671,0.2336,florida
