district,household language not english,state
120,6.3,kansas
121,12.8,kansas
122,34.7,kansas
123,45.3,kansas
124,32.8,kansas
125,58.6,kansas
1,2.8,kentucky
2,4.9,kentucky
3,2.5,kentucky
4,3.2,kentucky
5,3.9,kentucky
6,1.9,kentucky
7,5.6,kentucky
8,9.0,kentucky
9,9.4,kentucky
10,4.2,kentucky
11,2.1,kentucky
12,2.4,kentucky
13,5.1,kentucky
14,2.5,kentucky
15,2.4,kentucky
16,5.0,kentucky
17,8.8,kentucky
18,2.9,kentucky
19,9.2,kentucky
20,14.1,kentucky
21,4.3,kentucky
22,4.5,kentucky
23,4.4,kentucky
24,2.3,kentucky
25,5.3,kentucky
26,4.7,kentucky
27,4.2,kentucky
28,6.6,kentucky
29,4.0,kentucky
30,22.5,kentucky
31,11.0,kentucky
32,11.7,kentucky
33,7.5,kentucky
34,4.8,kentucky
35,12.8,kentucky
36,6.5,kentucky
37,17.0,kentucky
38,16.2,kentucky
39,7.7,kentucky
40,10.5,kentucky
41,5.7,kentucky
42,4.3,kentucky
43,3.9,kentucky
44,5.6,kentucky
45,13.8,kentucky
46,16.9,kentucky
47,3.8,kentucky
48,10.4,kentucky
49,1.7,kentucky
50,1.9,kentucky
51,2.5,kentucky
52,3.3,kentucky
53,2.5,kentucky
54,4.0,kentucky
55,6.3,kentucky
56,12.7,kentucky
57,6.4,kentucky
58,9.2,kentucky
59,3.9,kentucky
60,7.2,kentucky
61,2.0,kentucky
62,4.7,kentucky
63,4.4,kentucky
64,3.5,kentucky
65,7.4,kentucky
66,6.2,kentucky
67,5.2,kentucky
68,2.8,kentucky
69,9.3,kentucky
70,3.7,kentucky
71,2.4,kentucky
72,6.2,kentucky
73,3.0,kentucky
74,2.3,kentucky
75,10.6,kentucky
76,11.6,kentucky
77,17.8,kentucky
78,2.4,kentucky
79,12.0,kentucky
80,3.7,kentucky
81,4.1,kentucky
82,1.5,kentucky
83,3.7,kentucky
84,2.8,kentucky
85,1.5,kentucky
86,1.4,kentucky
87,0.5,kentucky
88,11.0,kentucky
89,3.1,kentucky
90,1.1,kentucky
91,0.9,kentucky
92,1.2,kentucky
93,1.4,kentucky
94,1.3,kentucky
95,0.7,kentucky
96,1.3,kentucky
97,2.0,kentucky
98,1.0,kentucky
99,2.9,kentucky
100,2.0,kentucky
1,9.3,maine
2,4.2,maine
3,2.4,maine
4,4.4,maine
5,2.0,maine
6,6.4,maine
7,5.7,maine
8,2.8,maine
9,7.9,maine
10,8.8,maine
11,14.9,maine
12,17.0,maine
13,13.5,maine
14,8.7,maine
15,10.8,maine
16,2.9,maine
17,6.5,maine
18,7.9,maine
19,5.2,maine
20,2.2,maine
21,3.5,maine
22,3.5,maine
23,2.6,maine
24,5.6,maine
25,4.8,maine
26,3.5,maine
27,5.8,maine
28,4.9,maine
29,6.1,maine
30,5.1,maine
31,5.6,maine
32,3.3,maine
33,22.9,maine
