district,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,state
65,0.2528,0.2373,0.2479,0.2621,connecticut
66,0.5074,0.1424,0.2021,0.1481,connecticut
67,0.3914,0.1829,0.2289,0.1968,connecticut
68,0.4347,0.1683,0.2086,0.1884,connecticut
69,0.5233,0.1282,0.2283,0.1202,connecticut
70,0.3734,0.1782,0.2287,0.2197,connecticut
71,0.3838,0.2018,0.2357,0.1786,connecticut
72,0.1978,0.2522,0.2408,0.3092,connecticut
73,0.3249,0.2286,0.2364,0.2102,connecticut
74,0.244,0.2532,0.242,0.2607,connecticut
75,0.1711,0.2724,0.2291,0.3274,connecticut
76,0.4145,0.1481,0.2354,0.202,connecticut
77,0.3631,0.1837,0.2438,0.2094,connecticut
78,0.3784,0.1697,0.2141,0.2377,connecticut
79,0.3576,0.1732,0.2645,0.2048,connecticut
80,0.398,0.1308,0.2699,0.2013,connecticut
81,0.4479,0.1546,0.2409,0.1567,connecticut
82,0.3901,0.1846,0.2344,0.1909,connecticut
83,0.3814,0.1361,0.2702,0.2123,connecticut
84,0.2955,0.1905,0.2664,0.2476,connecticut
85,0.4507,0.1411,0.2514,0.1569,connecticut
86,0.4446,0.1389,0.2404,0.176,connecticut
87,0.4576,0.1187,0.2896,0.1341,connecticut
88,0.4744,0.1354,0.285,0.1052,connecticut
89,0.5487,0.1064,0.2003,0.1446,connecticut
90,0.4719,0.1212,0.2284,0.1786,connecticut
91,0.5182,0.1724,0.1691,0.1403,connecticut
92,0.416,0.249,0.1885,0.1464,connecticut
93,0.3994,0.253,0.2237,0.1239,connecticut
94,0.3931,0.2733,0.2063,0.1273,connecticut
95,0.1403,0.3545,0.2058,0.2994,connecticut
96,0.6012,0.1326,0.15,0.1161,connecticut
97,0.3004,0.2796,0.1862,0.2338,connecticut
98,0.5376,0.1271,0.226,0.1092,connecticut
99,0.2977,0.1779,0.2839,0.2405,connecticut
100,0.4535,0.1796,0.1861,0.1808,connecticut
101,0.5496,0.1167,0.2301,0.1037,connecticut
102,0.4472,0.1648,0.2692,0.1188,connecticut
103,0.5345,0.1115,0.2437,0.1102,connecticut
104,0.2743,0.1985,0.2882,0.239,connecticut
105,0.3875,0.1473,0.2474,0.2178,connecticut
106,0.5547,0.1159,0.2045,0.1248,connecticut
107,0.4712,0.1457,0.2515,0.1317,connecticut
108,0.4673,0.115,0.2645,0.1532,connecticut
109,0.3174,0.21,0.218,0.2545,connecticut
110,0.1734,0.329,0.1941,0.3035,connecticut
111,0.5969,0.0861,0.2446,0.0725,connecticut
112,0.5133,0.1333,0.2273,0.1261,connecticut
113,0.4338,0.1418,0.2735,0.1509,connecticut
114,0.5584,0.0956,0.2151,0.1309,connecticut
115,0.2822,0.203,0.287,0.2279,connecticut
116,0.2336,0.3037,0.2619,0.2008,connecticut
117,0.4308,0.1449,0.2693,0.1549,connecticut
118,0.4551,0.1419,0.2433,0.1597,connecticut
119,0.5099,0.127,0.2512,0.1118,connecticut
120,0.4336,0.1544,0.2641,0.1478,connecticut
121,0.3221,0.2131,0.2835,0.1813,connecticut
122,0.4803,0.1518,0.2252,0.1427,connecticut
123,0.5649,0.0971,0.222,0.1161,connecticut
124,0.2042,0.3,0.2228,0.273,connecticut
125,0.6457,0.0614,0.2378,0.0552,connecticut
126,0.2517,0.2749,0.2381,0.2353,connecticut
127,0.3143,0.2234,0.2277,0.2346,connecticut
128,0.1233,0.3763,0.2166,0.2838,connecticut
129,0.3364,0.2867,0.2023,0.1746,connecticut
130,0.2096,0.3372,0.2313,0.2219,connecticut
131,0.4147,0.1569,0.2334,0.1949,connecticut
132,0.5571,0.1066,0.2729,0.0634,connecticut
133,0.5149,0.1643,0.2265,0.0944,connecticut
134,0.546,0.1063,0.2576,0.0901,connecticut
135,0.641,0.1042,0.1762,0.0786,connecticut
136,0.6336,0.0884,0.2343,0.0437,connecticut
137,0.4081,0.1966,0.2336,0.1617,connecticut
138,0.4393,0.1656,0.2246,0.1706,connecticut
139,0.3171,0.304,0.2064,0.1724,connecticut
140,0.2278,0.3186,0.2497,0.204,connecticut
141,0.6063,0.0775,0.2678,0.0484,connecticut
142,0.5223,0.1275,0.2464,0.1037,connecticut
143,0.5606,0.1046,0.2452,0.0896,connecticut
144,0.4983,0.1532,0.2384,0.1101,connecticut
145,0.2639,0.3307,0.2121,0.1933,connecticut
146,0.5279,0.157,0.2035,0.1116,connecticut
147,0.551,0.1293,0.2187,0.1011,connecticut
148,0.2992,0.2949,0.2008,0.2051,connecticut
149,0.5991,0.0973,0.2341,0.0695,connecticut
150,0.4836,0.1591,0.2347,0.1226,connecticut
151,0.5887,0.114,0.247,0.0503,connecticut
1,0.3532,0.2361,0.2685,0.1421,delaware
2,0.2684,0.3234,0.2604,0.1478,delaware
3,0.2664,0.3077,0.285,0.1409,delaware
4,0.6087,0.1319,0.1812,0.0782,delaware
5,0.3692,0.2109,0.2724,0.1475,delaware
6,0.5503,0.1482,0.1761,0.1254,delaware
7,0.4339,0.1496,0.2706,0.1459,delaware
8,0.448,0.174,0.2143,0.1636,delaware
9,0.4675,0.1461,0.1972,0.1892,delaware
10,0.5074,0.1299,0.2447,0.118,delaware
11,0.315,0.1597,0.2208,0.3045,delaware
12,0.6006,0.0988,0.1902,0.1103,delaware
13,0.3035,0.2088,0.2852,0.2025,delaware
14,0.4258,0.157,0.267,0.1501,delaware
15,0.4009,0.1709,0.2633,0.1648,delaware
16,0.2979,0.2143,0.254,0.2337,delaware
17,0.2717,0.1923,0.2658,0.2702,delaware
18,0.4154,0.1742,0.2337,0.1767,delaware
19,0.3009,0.1719,0.2782,0.249,delaware
20,0.4353,0.1727,0.242,0.15,delaware
21,0.469,0.1515,0.262,0.1175,delaware
22,0.6212,0.0879,0.2084,0.0825,delaware
23,0.509,0.1799,0.2361,0.075,delaware
24,0.3532,0.1819,0.2347,0.2302,delaware
25,0.5014,0.1428,0.2523,0.1035,delaware
26,0.359,0.2193,0.2568,0.1648,delaware
27,0.5437,0.1494,0.1837,0.1232,delaware
28,0.3011,0.2135,0.2631,0.2223,delaware
29,0.3796,0.1519,0.24,0.2285,delaware
30,0.3055,0.1762,0.2019,0.3164,delaware
31,0.39,0.2388,0.2154,0.1558,delaware
32,0.258,0.2531,0.2448,0.2442,delaware
33,0.3454,0.1923,0.2043,0.2579,delaware
34,0.3716,0.2056,0.2259,0.197,delaware
35,0.2437,0.221,0.2004,0.3349,delaware
36,0.3148,0.1764,0.2641,0.2447,delaware
37,0.2323,0.2259,0.2522,0.2896,delaware
38,0.3765,0.1965,0.2476,0.1794,delaware
39,0.2759,0.1945,0.2177,0.312,delaware
40,0.2721,0.1986,0.2459,0.2834,delaware
41,0.2608,0.2489,0.2207,0.2696,delaware
1,0.2986,0.209,0.2977,0.1946,florida
2,0.3648,0.1974,0.2767,0.1611,florida
3,0.3559,0.1648,0.2569,0.2225,florida
4,0.3447,0.2286,0.2499,0.1768,florida
5,0.2956,0.2424,0.2424,0.2196,florida
6,0.3227,0.2229,0.2538,0.2006,florida
7,0.2992,0.2196,0.2392,0.242,florida
8,0.3351,0.2382,0.292,0.1347,florida
9,0.5381,0.1323,0.2456,0.084,florida
10,0.2864,0.2225,0.233,0.2581,florida
11,0.3856,0.1831,0.2482,0.1832,florida
12,0.4127,0.1668,0.2686,0.1519,florida
13,0.2686,0.2316,0.2917,0.2081,florida
14,0.2724,0.2083,0.2722,0.2471,florida
15,0.3254,0.1708,0.2853,0.2185,florida
16,0.4468,0.1528,0.2685,0.1319,florida
17,0.4799,0.1565,0.2507,0.1129,florida
18,0.3489,0.1725,0.2708,0.2078,florida
19,0.2489,0.234,0.2441,0.273,florida
20,0.3733,0.2297,0.2371,0.1599,florida
21,0.4757,0.171,0.2326,0.1206,florida
22,0.2756,0.2308,0.2781,0.2156,florida
23,0.2675,0.2249,0.3048,0.2028,florida
24,0.3084,0.1971,0.3027,0.1917,florida
25,0.3601,0.2209,0.2532,0.1658,florida
26,0.2868,0.2218,0.2631,0.2283,florida
27,0.286,0.1925,0.3002,0.2214,florida
28,0.4367,0.1655,0.2684,0.1295,florida
29,0.4525,0.1477,0.2796,0.1203,florida
30,0.4172,0.1684,0.2683,0.1461,florida
31,0.3295,0.1944,0.2584,0.2177,florida
32,0.3399,0.2024,0.2719,0.1857,florida
33,0.2726,0.2351,0.289,0.2033,florida
34,0.2898,0.2331,0.2539,0.2232,florida
35,0.3028,0.2049,0.2824,0.2099,florida
36,0.2666,0.2363,0.2919,0.2053,florida
37,0.423,0.1563,0.2761,0.1446,florida
38,0.3788,0.1707,0.272,0.1785,florida
39,0.309,0.2207,0.2613,0.2089,florida
40,0.3267,0.1784,0.2668,0.228,florida
41,0.2823,0.2382,0.2456,0.2339,florida
42,0.2664,0.227,0.2819,0.2246,florida
43,0.2037,0.2795,0.2972,0.2196,florida
44,0.4584,0.1938,0.2654,0.0824,florida
45,0.2664,0.2476,0.2762,0.2098,florida
46,0.2271,0.3116,0.2717,0.1897,florida
47,0.4622,0.1617,0.2589,0.1172,florida
48,0.2306,0.2442,0.29,0.2353,florida
49,0.3601,0.2151,0.2787,0.1461,florida
50,0.4318,0.1529,0.257,0.1582,florida
51,0.351,0.2071,0.2624,0.1794,florida
52,0.4398,0.1705,0.2435,0.1461,florida
53,0.3209,0.208,0.2686,0.2024,florida
54,0.3139,0.2174,0.2753,0.1935,florida
55,0.2556,0.2149,0.2628,0.2667,florida
56,0.2627,0.1955,0.2351,0.3067,florida
57,0.4079,0.1533,0.2662,0.1726,florida
58,0.3086,0.175,0.2678,0.2486,florida
59,0.3774,0.1631,0.2955,0.164,florida
